LGA_NAME,SEVERITY,Count
ALPINE,1,1
ALPINE,2,18
ALPINE,3,31
ARARAT,1,0
ARARAT,2,5
ARARAT,3,5
BALLARAT,1,1
BALLARAT,2,83
BALLARAT,3,183
BANYULE,1,0
BANYULE,2,70
BANYULE,3,162
BASS COAST,1,1
BASS COAST,2,23
BASS COAST,3,42
BAW BAW,1,1
BAW BAW,2,16
BAW BAW,3,26
BAYSIDE,1,4
BAYSIDE,2,262
BAYSIDE,3,342
BENALLA,1,1
BENALLA,2,12
BENALLA,3,13
BENDIGO,1,5
BENDIGO,2,84
BENDIGO,3,175
BOROONDARA,1,3
BOROONDARA,2,206
BOROONDARA,3,384
BRIMBANK,1,2
BRIMBANK,2,78
BRIMBANK,3,135
BULOKE,1,1
BULOKE,2,1
BULOKE,3,2
CAMPASPE,1,1
CAMPASPE,2,11
CAMPASPE,3,38
CARDINIA,1,3
CARDINIA,2,36
CARDINIA,3,54
CASEY,1,4
CASEY,2,62
CASEY,3,125
CENTRAL GOLDFIELDS,1,0
CENTRAL GOLDFIELDS,2,6
CENTRAL GOLDFIELDS,3,7
COLAC OTWAY,1,2
COLAC OTWAY,2,19
COLAC OTWAY,3,27
CORANGAMITE,1,0
CORANGAMITE,2,8
CORANGAMITE,3,2
DANDENONG,1,5
DANDENONG,2,90
DANDENONG,3,124
DAREBIN,1,2
DAREBIN,2,182
DAREBIN,3,513
EAST GIPPSLAND,1,0
EAST GIPPSLAND,2,14
EAST GIPPSLAND,3,36
FALLS CREEK,1,0
FALLS CREEK,2,1
FALLS CREEK,3,1
FRANKSTON,1,2
FRANKSTON,2,78
FRANKSTON,3,126
GANNAWARRA,1,0
GANNAWARRA,2,1
GANNAWARRA,3,4
GEELONG,1,7
GEELONG,2,242
GEELONG,3,311
GLEN EIRA,1,1
GLEN EIRA,2,178
GLEN EIRA,3,344
GLENELG,1,1
GLENELG,2,7
GLENELG,3,21
GOLDEN PLAINS,1,1
GOLDEN PLAINS,2,3
GOLDEN PLAINS,3,2
HEPBURN,1,3
HEPBURN,2,6
HEPBURN,3,10
HINDMARSH,1,0
HINDMARSH,2,1
HINDMARSH,3,1
HOBSONS BAY,1,3
HOBSONS BAY,2,91
HOBSONS BAY,3,225
HORSHAM,1,1
HORSHAM,2,7
HORSHAM,3,35
HUME,1,1
HUME,2,64
HUME,3,133
INDIGO,1,1
INDIGO,2,7
INDIGO,3,5
KINGSTON,1,2
KINGSTON,2,167
KINGSTON,3,309
KNOX,1,2
KNOX,2,59
KNOX,3,106
LATROBE,1,0
LATROBE,2,28
LATROBE,3,65
LODDON,1,0
LODDON,2,0
LODDON,3,3
MACEDON RANGES,1,2
MACEDON RANGES,2,26
MACEDON RANGES,3,31
MANNINGHAM,1,0
MANNINGHAM,2,36
MANNINGHAM,3,58
MANSFIELD,1,2
MANSFIELD,2,5
MANSFIELD,3,6
MARIBYRNONG,1,3
MARIBYRNONG,2,94
MARIBYRNONG,3,209
MAROONDAH,1,0
MAROONDAH,2,49
MAROONDAH,3,78
MELBOURNE,1,5
MELBOURNE,2,651
MELBOURNE,3,1750
MELTON,1,2
MELTON,2,28
MELTON,3,82
MERRI-BEK,1,0
MERRI-BEK,2,1
MERRI-BEK,3,0
MILDURA,1,0
MILDURA,2,19
MILDURA,3,74
MITCHELL,1,1
MITCHELL,2,11
MITCHELL,3,18
MOIRA,1,1
MOIRA,2,13
MOIRA,3,15
MONASH,1,3
MONASH,2,124
MONASH,3,192
MOONEE VALLEY,1,3
MOONEE VALLEY,2,108
MOONEE VALLEY,3,258
MOORABOOL,1,0
MOORABOOL,2,11
MOORABOOL,3,15
MORELAND,1,2
MORELAND,2,235
MORELAND,3,637
MORNINGTON PENINSULA,1,6
MORNINGTON PENINSULA,2,167
MORNINGTON PENINSULA,3,225
MOUNT ALEXANDER,1,2
MOUNT ALEXANDER,2,11
MOUNT ALEXANDER,3,14
MOUNT BAW BAW,1,0
MOUNT BAW BAW,2,0
MOUNT BAW BAW,3,1
MOUNT BULLER,1,0
MOUNT BULLER,2,0
MOUNT BULLER,3,2
MOYNE,1,1
MOYNE,2,9
MOYNE,3,8
MURRINDINDI,1,0
MURRINDINDI,2,2
MURRINDINDI,3,7
NILLUMBIK,1,0
NILLUMBIK,2,49
NILLUMBIK,3,79
NORTHERN GRAMPIANS,1,1
NORTHERN GRAMPIANS,2,10
NORTHERN GRAMPIANS,3,11
PORT PHILLIP,1,4
PORT PHILLIP,2,395
PORT PHILLIP,3,616
PYRENEES,1,0
PYRENEES,2,0
PYRENEES,3,4
QUEENSCLIFFE,1,0
QUEENSCLIFFE,2,2
QUEENSCLIFFE,3,1
SHEPPARTON,1,1
SHEPPARTON,2,37
SHEPPARTON,3,79
SOUTH GIPPSLAND,1,2
SOUTH GIPPSLAND,2,8
SOUTH GIPPSLAND,3,12
SOUTHERN GRAMPIANS,1,0
SOUTHERN GRAMPIANS,2,12
SOUTHERN GRAMPIANS,3,8
STONNINGTON,1,4
STONNINGTON,2,236
STONNINGTON,3,516
STRATHBOGIE,1,0
STRATHBOGIE,2,3
STRATHBOGIE,3,5
SURF COAST,1,1
SURF COAST,2,37
SURF COAST,3,62
SWAN HILL,1,0
SWAN HILL,2,5
SWAN HILL,3,12
TOWONG,1,0
TOWONG,2,0
TOWONG,3,4
WANGARATTA,1,1
WANGARATTA,2,10
WANGARATTA,3,41
WARRNAMBOOL,1,5
WARRNAMBOOL,2,29
WARRNAMBOOL,3,60
WELLINGTON,1,1
WELLINGTON,2,17
WELLINGTON,3,54
WHITEHORSE,1,2
WHITEHORSE,2,73
WHITEHORSE,3,151
WHITTLESEA,1,3
WHITTLESEA,2,80
WHITTLESEA,3,150
WODONGA,1,0
WODONGA,2,15
WODONGA,3,45
WYNDHAM,1,1
WYNDHAM,2,64
WYNDHAM,3,165
YARRA,1,0
YARRA,2,384
YARRA,3,1214
YARRA RANGES,1,1
YARRA RANGES,2,77
YARRA RANGES,3,89
YARRIAMBIACK,1,0
YARRIAMBIACK,2,0
YARRIAMBIACK,3,3
